system_job_id,education_display,education_source,experience_display,experience_source
5210966958,Certification,nlp_inferred,,not_specified
4864216712,Doctorate,nlp_inferred,6-12 months,nlp_inferred
4979416298,Master's Degree,nlp_inferred,2 years,nlp_inferred
5146624781,Master's Degree,nlp_inferred,28 years,nlp_inferred
4967670301,Doctorate,nlp_inferred,,not_specified
5214147967,Master's Degree,nlp_inferred,,not_specified
5142709269,Associate Degree,nlp_inferred,,not_specified
4454574902,Bachelor's Degree,nlp_inferred,,not_specified
5127054393,Doctorate,nlp_inferred,,not_specified
5214147139,Certification,nlp_inferred,12 months,nlp_inferred
5166913564,Associate Degree,nlp_inferred,18 years,nlp_inferred
4882753945,High School Diploma/GED,nlp_inferred,Entry level / no experience,nlp_inferred
5260256180,,not_specified,1-3 years,nlp_inferred
5233079023,High School Diploma/GED,nlp_inferred,5 years,nlp_inferred
5278733870,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5260269634,,not_specified,1-3 years,nlp_inferred
5278735792,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5207610597,,not_specified,,not_specified
5078749800,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5280695504,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5270180307,,not_specified,1 years,nlp_inferred
5274130622,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5263744256,Certification,nlp_inferred,,not_specified
5014981162,High School Diploma/GED,nlp_inferred,,not_specified
5198304629,Doctorate,nlp_inferred,7 years,nlp_inferred
5277116455,Bachelor's Degree,nlp_inferred,,not_specified
5280727050,High School Diploma/GED,nlp_inferred,,not_specified
5127056820,Doctorate,nlp_inferred,9 months,nlp_inferred
5280728220,,not_specified,,not_specified
5201868141,Doctorate,nlp_inferred,9 months,nlp_inferred
5135671817,Doctorate,nlp_inferred,,not_specified
5152920230,Doctorate,nlp_inferred,,not_specified
5278752086,High School Diploma/GED,nlp_inferred,1 years,nlp_inferred
5278753809,Master's Degree,nlp_inferred,,not_specified
5214146614,Master's Degree,nlp_inferred,2 years,nlp_inferred
5127053078,Bachelor's Degree,nlp_inferred,2 years,nlp_inferred
5280732664,,not_specified,,not_specified
5259679769,Bachelor's Degree,nlp_inferred,,not_specified
5278753518,High School Diploma/GED,nlp_inferred,,not_specified
5280733680,Certification,nlp_inferred,,not_specified
5280733840,Certification,nlp_inferred,,not_specified
5189579457,,not_specified,3 months,nlp_inferred
5280734535,Certification,nlp_inferred,,not_specified
5280735513,Certification,nlp_inferred,,not_specified
5280736180,,not_specified,9 months,nlp_inferred
5280736443,Certification,nlp_inferred,,not_specified
5280736456,Doctorate,nlp_inferred,,not_specified
5280736689,High School Diploma/GED,nlp_inferred,2 years,nlp_inferred
5135671486,Doctorate,nlp_inferred,,not_specified
5280736939,Certification,nlp_inferred,,not_specified
5278753473,High School Diploma/GED,nlp_inferred,1 years,nlp_inferred
5280737432,Certification,nlp_inferred,,not_specified
5127052974,Doctorate,nlp_inferred,,not_specified
5260316363,Associate Degree,nlp_inferred,18 years,nlp_inferred
5204560325,Associate Degree,nlp_inferred,18 years,nlp_inferred
5274206906,Associate Degree,nlp_inferred,18 years,nlp_inferred
5278774129,Associate Degree,nlp_inferred,18 years,nlp_inferred
5278777026,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5223067003,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5249290353,Associate Degree,nlp_inferred,18 years,nlp_inferred
5274209639,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5278770286,Associate Degree,nlp_inferred,18 years,nlp_inferred
5274206721,Associate Degree,nlp_inferred,18 years,nlp_inferred
5166913449,Associate Degree,nlp_inferred,18 years,nlp_inferred
5245069136,Doctorate,nlp_inferred,,not_specified
5278767462,Associate Degree,nlp_inferred,18 years,nlp_inferred
5278777163,Associate Degree,nlp_inferred,18 years,nlp_inferred
5274207113,Associate Degree,nlp_inferred,18 years,nlp_inferred
5259714534,Master's Degree,nlp_inferred,,not_specified
5278775705,Associate Degree,nlp_inferred,18 years,nlp_inferred
5255413858,,not_specified,,not_specified
5056300809,Master's Degree,nlp_inferred,6 months,nlp_inferred
5207474800,Bachelor's Degree,nlp_inferred,18 years,nlp_inferred
5177430250,,not_specified,13-0 years,nlp_inferred
5278850197,Certification,nlp_inferred,Entry level / no experience,nlp_inferred
5210992460,Master's Degree,nlp_inferred,7 years,nlp_inferred
5259777740,Master's Degree,nlp_inferred,5 years,nlp_inferred
5259957896,Bachelor's Degree,nlp_inferred,,not_specified
5207615951,Certification,nlp_inferred,18 years,nlp_inferred
5236734800,Associate Degree,nlp_inferred,,not_specified
5135675132,Doctorate,nlp_inferred,,not_specified
5235579301,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5224621199,Bachelor's Degree,nlp_inferred,3 years,nlp_inferred
5186290914,Bachelor's Degree,nlp_inferred,1 years,nlp_inferred
5224621395,Bachelor's Degree,nlp_inferred,3 years,nlp_inferred
5278911825,Associate Degree,nlp_inferred,,not_specified
5277283177,,not_specified,,not_specified
5177499470,High School Diploma/GED,nlp_inferred,,not_specified
5198515484,Associate Degree,nlp_inferred,40 years,nlp_inferred
5127032468,High School Diploma/GED,nlp_inferred,21 years,nlp_inferred
4786911671,Doctorate,nlp_inferred,3 years,nlp_inferred
5087373536,Associate Degree,nlp_inferred,,not_specified
5245129508,Associate Degree,nlp_inferred,1 years,nlp_inferred
5189661086,,not_specified,Entry level / no experience,nlp_inferred
5052775368,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5259894155,,not_specified,,not_specified
5278933870,,not_specified,,not_specified
5245189848,,not_specified,6 months,nlp_inferred
4986919625,Master's Degree,nlp_inferred,5 years,nlp_inferred
5129817225,,not_specified,Entry level / no experience,nlp_inferred
5271760702,Bachelor's Degree,nlp_inferred,,not_specified
5125271502,Doctorate,nlp_inferred,,not_specified
4749677679,Master's Degree,nlp_inferred,3 years,nlp_inferred
4967670056,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5175585648,Master's Degree,nlp_inferred,10 years,nlp_inferred
5277346263,Certification,nlp_inferred,3 years,nlp_inferred
4749677852,Master's Degree,nlp_inferred,9 months,nlp_inferred
4967669318,Doctorate,nlp_inferred,0-95 years,nlp_inferred
4749677567,Doctorate,nlp_inferred,,not_specified
4971103020,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
4749676970,Master's Degree,nlp_inferred,,not_specified
5184737706,Certification,nlp_inferred,,not_specified
5129911947,Master's Degree,nlp_inferred,,not_specified
5280966542,,not_specified,18 years,nlp_inferred
5207617771,High School Diploma/GED,nlp_inferred,2-3 years,nlp_inferred
5280969785,Master's Degree,nlp_inferred,18 years,nlp_inferred
5280971301,Bachelor's Degree,nlp_inferred,10 years,nlp_inferred
5207626611,High School Diploma/GED,nlp_inferred,10-0 years,nlp_inferred
4984639793,Master's Degree,nlp_inferred,15 years,nlp_inferred
5127252305,High School Diploma/GED,nlp_inferred,65 years,nlp_inferred
5132353016,Bachelor's Degree,nlp_inferred,,not_specified
4118847512,High School Diploma/GED,nlp_inferred,10 years,nlp_inferred
4664808196,High School Diploma/GED,nlp_inferred,,not_specified
5127056735,Doctorate,nlp_inferred,,not_specified
5175591078,Master's Degree,nlp_inferred,8 years,nlp_inferred
4749677040,Doctorate,nlp_inferred,,not_specified
5207439893,Bachelor's Degree,nlp_inferred,,not_specified
5224617918,Bachelor's Degree,nlp_inferred,3 years,nlp_inferred
5018626578,Doctorate,nlp_inferred,5 months,nlp_inferred
4967670598,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
