system_job_id,skill_text
2280152510,perform aircraft maintenance perform flight manoeuvres
4165201076,create underwriting guidelines
4347135862,monitor heavy machinery
4347136056,monitor heavy machinery
4355001050,carry out financial transactions
4355001085,operate janitorial tools
4355001104,monitor heavy machinery
4355001743,monitor heavy machinery
4362879775,monitor heavy machinery
4364658890,monitor heavy machinery
4364659547,monitor heavy machinery
4373806057,carry out financial transactions
4383312145,monitor heavy machinery
4386473579,paint mixing and matching software
4387770868,monitor heavy machinery
4389038999,carry out financial transactions
4390946450,monitor heavy machinery
4394840242,monitor heavy machinery
4398280671,maintain control systems for automated equipment inspect industrial equipment design electrical systems variable frequency drive vfd software operate industrial equipment repair industrial equipment repair vessel electrical systems programmable logic controller plc software develop improvements to the electrical systems repair vehicle electrical systems programmable logic controller plc code generation software
4431326267,php
4437048593,hec hms hec ras
4437048607,hec hms hec ras
4450692518,paint mixing and matching software
4457288307,repair aircraft s body repair engines
4457288315,repair aircraft s body
4475937052,operate control systems
4527230413,monitor heavy machinery
4530773427,carry out financial transactions
4547891095,carry out financial transactions
4562539710,operate janitorial tools
4563359562,operate janitorial tools
4625140729,identify surveillance devices electronic engineering calculator
4628722200,chef
4628722203,coordinate the ship crew chef prepare dietary meals
4654095918,respond to emergency calls for repairs
4662455459,focus on passengers provide information to passengers
4685632278,ace dental
4685632282,ace dental
4690177883,definiens developer
4690419793,local area network lan software wide area network wan software microsoft windows microsoft windows server
4694937106,complete clinic
4713124541,treat neurological disorders
4723615347,confer with event staff give battle commands carry out event management ensure public safety and security
4725766410,manage several projects project manager online projectmanager com
4725766419,project manager online projectmanager com
4725766426,project manager online projectmanager com
4749677092,record music
4749677154,record music
4749677192,3d graphic design software
4749677725,record music orchestrate music
4749677852,record music
4749678096,record music
4749678200,record music
4749678238,record music orchestrate music
4749678331,record music orchestrate music
4749678366,record music
4753197813,assemble instrumentation equipment
4762289954,pv optics
4780372026,installation
4789367292,yardi systems yardi voyager commercial general ledger software accounts payable software
4797651306,plan digital marketing plan social media marketing campaigns
4804030988,sell cosmetics
4817049733,equipment maintenance
4817049739,equipment maintenance
4818955085,adhere to standard operating procedures
4822053618,write routine reports
4822053620,write routine reports
4827382555,plan maintenance activities
